query,scale_factor,drop_cache,comp_algo,mem_limit,thread_limit,uncomp_bytes,comp_bytes,io_bytes,time_ms
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,137438953472,32,0,238,0,1219.06
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,137438953472,32,0,238,0,2599.66
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,137438953472,32,0,238,0,3287.31
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,137438953472,32,0,238,0,3201.22
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,137438953472,32,0,238,0,1635.29
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,137438953472,32,0,238,0,1463.2
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,137438953472,32,0,238,0,1178.83
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,137438953472,32,0,238,0,2643.83
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,137438953472,32,0,240,0,3279.07
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,137438953472,32,0,240,0,3165.02
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,137438953472,32,0,240,0,1624.18
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,137438953472,32,0,240,0,1480.39
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,137438953472,32,0,240,0,1177.98
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,137438953472,32,0,240,0,2640.71
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,137438953472,32,0,240,0,3286.82
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,137438953472,32,0,240,0,3166.8
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,137438953472,32,0,240,0,1631.41
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,137438953472,32,0,240,0,1465.38
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,137438953472,32,0,240,0,1194.61
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,137438953472,32,0,240,0,2650.41
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,137438953472,32,0,240,0,3278.54
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,137438953472,32,0,240,0,3178.71
