query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,simulate_compute_ms,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:47:00.0
# Slurm Info: 30663 32 1 gres:gpu:gpu_group1:1
# ../../../bin/taxi --dataflow=SSD2GPU --chunk_bytes=1048576,2097152,4194304,8388608,16777216,33554432,67108864,134217728,268435456 --comp_algo=UNCOMPRESSED,LZ4,Cascaded,Snappy,Gdeflate,Bitcomp,ANS --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=select_VendorID,select_tpep_pickup_datetime,select_tpep_dropoff_datetime,select_Passenger_count,select_Trip_distance,select_RateCodeID,select_Store_and_fwd_flag,select_PULocationID,select_DOLocationID,select_Payment_type,select_Fare_amount,select_Extra,select_MTA_tax,select_Tip_amount,select_Tolls_amount,select_Improvement_surcharge,select_Total_amount,select_Congestion_Surcharge,select_Airport_fee --repeat=2 --scale_factor=12 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/taxi/trips.csv.dat --store_offset=0 --workers=12
#[INFO ] Loading table data from disk ...
select_VendorID,SSD2GPU,12,1,,12,1,1,134217728,65536,Snappy,natural,0,DONTPRUNE,16,-1,42298834944,5309106336,25868001280,134471680,1168313848,0,-1,132.88,-1,22.2707,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,268435456,65536,Snappy,natural,0,DONTPRUNE,16,-1,42298834944,8932984992,26002219008,149573632,1168313848,0,-1,126.109,-1,25.4529,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,1048576,65536,Gdeflate,natural,0,DONTPRUNE,16,-1,42298834944,10220636160,25829203968,137699328,1168313848,0,-1,6268.18,-1,113.742,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,2097152,65536,Gdeflate,natural,0,DONTPRUNE,16,-1,42298834944,10248947712,25830252544,136695808,1168313848,0,-1,3318.8,-1,65.5035,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,4194304,65536,Gdeflate,natural,0,DONTPRUNE,16,-1,42298834944,10305570816,25830252544,136052736,1168313848,0,-1,1760.78,-1,32.1143,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,8388608,65536,Gdeflate,natural,0,DONTPRUNE,16,-1,42298834944,10418817024,25834446848,136257536,1168313848,0,-1,945.784,-1,20.4349,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,16777216,65536,Gdeflate,natural,0,DONTPRUNE,16,-1,42298834944,10645309440,25834446848,136155136,1168313848,0,-1,527.178,-1,13.9096,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,33554432,65536,Gdeflate,natural,0,DONTPRUNE,16,-1,42298834944,11098294272,25834446848,135974912,1168313848,0,-1,309.767,-1,10.7217,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,67108864,65536,Gdeflate,natural,0,DONTPRUNE,16,-1,42298834944,12004263936,25868001280,139845632,1168313848,0,-1,200.69,-1,11.7734,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,134217728,65536,Gdeflate,natural,0,DONTPRUNE,16,-1,42298834944,13816203264,25868001280,139915264,1168313848,0,-1,169.36,-1,17.4617,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,268435456,65536,Gdeflate,natural,0,DONTPRUNE,16,-1,42298834944,17440081920,26002219008,155594752,1168313848,0,-1,155.555,-1,16.3569,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,1048576,65536,Bitcomp,natural,0,DONTPRUNE,16,-1,42298834944,28311552,25829203968,41103360,1168313848,0,-1,160.147,-1,22.2467,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,2097152,65536,Bitcomp,natural,0,DONTPRUNE,16,-1,42298834944,56623104,25830252544,39432192,1168313848,0,-1,109.345,-1,10.3191,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,4194304,65536,Bitcomp,natural,0,DONTPRUNE,16,-1,42298834944,113246208,25830252544,38813696,1168313848,0,-1,83.2821,-1,6.79279,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,8388608,65536,Bitcomp,natural,0,DONTPRUNE,16,-1,42298834944,226492416,25834446848,38801408,1168313848,0,-1,69.5172,-1,12.74,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,16777216,65536,Bitcomp,natural,0,DONTPRUNE,16,-1,42298834944,452984832,25834446848,38801408,1168313848,0,-1,62.1017,-1,4.04352,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,33554432,65536,Bitcomp,natural,0,DONTPRUNE,16,-1,42298834944,905969664,25834446848,38801408,1168313848,0,-1,58.9475,-1,3.23905,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,67108864,65536,Bitcomp,natural,0,DONTPRUNE,16,-1,42298834944,1811939328,25868001280,38813696,1168313848,0,-1,57.6263,-1,3.58025,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,134217728,65536,Bitcomp,natural,0,DONTPRUNE,16,-1,42298834944,3623878656,25868001280,38789120,1168313848,0,-1,56.5069,-1,3.80538,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,268435456,65536,Bitcomp,natural,0,DONTPRUNE,16,-1,42298834944,7247757312,26002219008,38977536,1168313848,0,-1,57.0577,-1,5.91231,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,1048576,65536,ANS,natural,0,DONTPRUNE,16,-1,42298834944,6704971776,25829203968,100474880,1168313848,0,-1,1791.08,-1,75.0304,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,2097152,65536,ANS,natural,0,DONTPRUNE,16,-1,42298834944,6733283328,25830252544,100564992,1168313848,0,-1,934.316,-1,51.3768,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,4194304,65536,ANS,natural,0,DONTPRUNE,16,-1,42298834944,6789906432,25830252544,100564992,1168313848,0,-1,500.58,-1,24.184,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,8388608,65536,ANS,natural,0,DONTPRUNE,16,-1,42298834944,6903152640,25834446848,100352000,1168313848,0,-1,279.382,-1,15.2773,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,16777216,65536,ANS,natural,0,DONTPRUNE,16,-1,42298834944,7129645056,25834446848,100352000,1168313848,0,-1,172.367,-1,9.19977,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,33554432,65536,ANS,natural,0,DONTPRUNE,16,-1,42298834944,7582629888,25834446848,100352000,1168313848,0,-1,121.93,-1,21.0333,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,67108864,65536,ANS,natural,0,DONTPRUNE,16,-1,42298834944,8488599552,25868001280,103145472,1168313848,0,-1,97.3229,-1,9.2723,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,134217728,65536,ANS,natural,0,DONTPRUNE,16,-1,42298834944,10300538880,25868001280,103108608,1168313848,0,-1,83.3058,-1,11.1739,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,268435456,65536,ANS,natural,0,DONTPRUNE,16,-1,42298834944,13924417536,26002219008,114556928,1168313848,0,-1,81.8751,-1,14.4696,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,1048576,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,-1,42298834944,12582912,25829203968,1168314368,1168313848,0,-1,116.5,-1,72.8838,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,2097152,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,-1,42298834944,25165824,25830252544,1168314368,1168313848,0,-1,116.238,-1,58.659,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,-1,42298834944,50331648,25830252544,1168314368,1168313848,0,-1,116.208,-1,57.8799,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,8388608,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,-1,42298834944,100663296,25834446848,1168314368,1168313848,0,-1,115.575,-1,58.5277,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,16777216,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,-1,42298834944,201326592,25834446848,1168314368,1168313848,0,-1,116.411,-1,57.4439,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,33554432,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,-1,42298834944,402653184,25834446848,1168314368,1168313848,0,-1,148.174,-1,57.289,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,-1,42298834944,805306368,25868001280,1168314368,1168313848,0,-1,116.696,-1,97.1217,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,134217728,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,-1,42298834944,1610612736,25868001280,1168314368,1168313848,0,-1,116.209,-1,57.9856,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,268435456,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,-1,42298834944,3221225472,26002219008,1168314368,1168313848,0,-1,115.535,-1,59.5418,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,1048576,65536,LZ4,natural,0,DONTPRUNE,16,-1,42298834944,4116123648,25829203968,508903424,1168313848,0,-1,12125,-1,643.142,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,2097152,65536,LZ4,natural,0,DONTPRUNE,16,-1,42298834944,4144435200,25830252544,508239872,1168313848,0,-1,6150.63,-1,335.266,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,4194304,65536,LZ4,natural,0,DONTPRUNE,16,-1,42298834944,4201058304,25830252544,507654144,1168313848,0,-1,3167.11,-1,177.725,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,8388608,65536,LZ4,natural,0,DONTPRUNE,16,-1,42298834944,4314304512,25834446848,509173760,1168313848,0,-1,1673.76,-1,110.815,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,16777216,65536,LZ4,natural,0,DONTPRUNE,16,-1,42298834944,4540796928,25834446848,509042688,1168313848,0,-1,1081.5,-1,72.2513,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,33554432,65536,LZ4,natural,0,DONTPRUNE,16,-1,42298834944,4993781760,25834446848,508960768,1168313848,0,-1,652.589,-1,57.4983,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,67108864,65536,LZ4,natural,0,DONTPRUNE,16,-1,42298834944,5899751424,25868001280,523448320,1168313848,0,-1,471.93,-1,57.6432,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,134217728,65536,LZ4,natural,0,DONTPRUNE,16,-1,42298834944,7711690752,25868001280,523464704,1168313848,0,-1,332.509,-1,65.0003,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,268435456,65536,LZ4,natural,0,DONTPRUNE,16,-1,42298834944,11335569408,26002219008,581644288,1168313848,0,-1,351.481,-1,72.863,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,1048576,65536,Cascaded,natural,0,DONTPRUNE,16,-1,42298834944,60224256,25829203968,1103695872,1168313848,0,-1,432.782,-1,65.4211,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,2097152,65536,Cascaded,natural,0,DONTPRUNE,16,-1,42298834944,88535808,25830252544,1103466496,1168313848,0,-1,351.283,-1,57.5193,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,4194304,65536,Cascaded,natural,0,DONTPRUNE,16,-1,42298834944,145158912,25830252544,1102848000,1168313848,0,-1,333.432,-1,56.5458,,,,
select_tpep_pickup_datetime,SSD2GPU,12,1,,12,1,1,8388608,65536,Cascaded,natural,0,DONTPRUNE,16,-1,42298834944,258405120,25834446848,1106542592,1168313848,0,-1,320.72,-1,56.3817,,,,
