query,scale_factor,drop_cache,row_group_size,comp_algo,mem_limit,thread_limit,uncomp_bytes,comp_bytes,io_bytes,time_ms
# ../../../bin/duckdb_ssb1.0 --repeat=5 --dbpath=/raid/gds/ssb/parquet200/uncompressed_sorted/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3,query3.1,query3.2,query3.3,query3.4,query4.1,query4.2,query4.3 --mem_limit=274877906944 --thread_limit=64 --explain_analyze=false
query1.3,200,1,1050624,SNAPPY,274877906944,64,0,20356709380,0,2187.51
#[INFO ] Res size 280
query2.1,200,1,1050624,SNAPPY,274877906944,64,0,33625152793,0,3801.16
#[INFO ] Res size 56
query2.2,200,1,1050624,SNAPPY,274877906944,64,0,33622079517,0,3599.33
#[INFO ] Res size 7
query2.3,200,1,1050624,SNAPPY,274877906944,64,0,33622079517,0,3537.48
#[INFO ] Res size 150
query3.1,200,1,1050624,SNAPPY,274877906944,64,0,33674347324,0,3832.35
#[INFO ] Res size 600
query3.2,200,1,1050624,SNAPPY,274877906944,64,0,33676875917,0,3595.93
#[INFO ] Res size 24
query3.3,200,1,1050624,SNAPPY,274877906944,64,0,33664587145,0,3547.14
#[INFO ] Res size 4
query3.4,200,1,1050624,SNAPPY,274877906944,64,0,33664588281,0,3523.32
#[INFO ] Res size 35
query4.1,200,1,1050624,SNAPPY,274877906944,64,0,48089203510,0,7165.53
#[INFO ] Res size 100
query4.2,200,1,1050624,SNAPPY,274877906944,64,0,48081524466,0,7782.07
#[INFO ] Res size 800
query4.3,200,1,1050624,SNAPPY,274877906944,64,0,48083944204,0,5717.28
#DONE
