query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
#[INFO ] Pruned: 465 of 573 chunks (0.81), 3985330176 of 4919549952 bytes (0.81)
query1.2,SSD2GPU2CPU,200,1,,8,1,1,16777216,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,9459136388,233387010852,4919549952,16800214942,3985330176,-1,38480,0.166516,120.711,,,,
#[INFO ] chunk_num: 144, tuples_per_chunk: 8388608, Tuples total 1200015353
#[INFO ] The result is: 18167977739771
#[INFO ] Pruned: 99 of 144 chunks (0.69), 3397410816 of 4941320192 bytes (0.69)
query1.2,SSD2GPU2CPU,200,1,,8,1,1,67108864,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,11036646800,233387005704,4941320192,16800214942,3397410816,-1,28176.7,0.130657,90.3354,,,,
#[INFO ] chunk_num: 36, tuples_per_chunk: 33554432, Tuples total 1200015353
#[INFO ] The result is: 18167977739771
#[INFO ] Pruned: 21 of 36 chunks (0.58), 2882215936 of 4940308480 bytes (0.58)
query1.2,SSD2GPU2CPU,200,1,,8,1,1,268435456,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,17376436448,233387004408,4940308480,16800214942,2882215936,-1,25753.3,0.123744,139.545,,,,
#[INFO ] chunk_num: 9156, tuples_per_chunk: 131072, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
#[INFO ] Pruned: 8580 of 9156 chunks (0.94), 15743254528 of 16800219136 bytes (0.94)
query1.3,SSD2GPU2CPU,200,1,,8,1,1,1048576,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,184176736,233387113848,16800219136,16800214942,15743254528,-1,2802.93,0.305469,349.015,,,,
#[INFO ] chunk_num: 2289, tuples_per_chunk: 524288, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
#[INFO ] Pruned: 2088 of 2289 chunks (0.91), 15324872704 of 16800219136 bytes (0.91)
query1.3,SSD2GPU2CPU,200,1,,8,1,1,4194304,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,101177428,233387031444,16800219136,16800214942,15324872704,-1,2802.46,0.218564,134.95,,,,
#[INFO ] chunk_num: 573, tuples_per_chunk: 2097152, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
#[INFO ] Pruned: 463 of 573 chunks (0.81), 13570605056 of 16800219136 bytes (0.81)
query1.3,SSD2GPU2CPU,200,1,,8,1,1,16777216,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,245592196,233387010852,16800219136,16800214942,13570605056,-1,2883.45,0.194238,190.821,,,,
#[INFO ] chunk_num: 144, tuples_per_chunk: 8388608, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
#[INFO ] Pruned: 99 of 144 chunks (0.69), 11515396096 of 16800219136 bytes (0.69)
query1.3,SSD2GPU2CPU,200,1,,8,1,1,67108864,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,942298768,233387005704,16800219136,16800214942,11515396096,-1,2823.59,0.166316,271.628,,,,
#[INFO ] chunk_num: 36, tuples_per_chunk: 33554432, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
#[INFO ] Pruned: 21 of 36 chunks (0.58), 9753788416 of 16800219136 bytes (0.58)
query1.3,SSD2GPU2CPU,200,1,,8,1,1,268435456,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,3758873056,233387004408,16800219136,16800214942,9753788416,-1,2803.43,0.236559,468.707,,,,
#[INFO ] chunk_num: 9156, tuples_per_chunk: 131072, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
#[INFO ] Pruned: 8580 of 9156 chunks (0.94), 4671561728 of 4991037440 bytes (0.94)
query1.3,SSD2GPU2CPU,200,1,,8,1,1,1048576,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,9122469728,233387113848,4991037440,16800214942,4671561728,-1,243892,0.31644,342.766,,,,
#[INFO ] chunk_num: 2289, tuples_per_chunk: 524288, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
#[INFO ] Pruned: 2088 of 2289 chunks (0.91), 4488826880 of 4928978944 bytes (0.91)
query1.3,SSD2GPU2CPU,200,1,,8,1,1,4194304,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,9094520660,233387031444,4928978944,16800214942,4488826880,-1,77995,0.214186,132.867,,,,
#[INFO ] chunk_num: 573, tuples_per_chunk: 2097152, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
#[INFO ] Pruned: 463 of 573 chunks (0.81), 3968012288 of 4919549952 bytes (0.81)
query1.3,SSD2GPU2CPU,200,1,,8,1,1,16777216,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,9459136388,233387010852,4919549952,16800214942,3968012288,-1,38944.6,0.161436,101.354,,,,
#[INFO ] chunk_num: 144, tuples_per_chunk: 8388608, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
#[INFO ] Pruned: 99 of 144 chunks (0.69), 3397578752 of 4941320192 bytes (0.69)
query1.3,SSD2GPU2CPU,200,1,,8,1,1,67108864,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,11036646800,233387005704,4941320192,16800214942,3397578752,-1,28163.6,0.149654,99.0379,,,,
#[INFO ] chunk_num: 36, tuples_per_chunk: 33554432, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
#[INFO ] Pruned: 21 of 36 chunks (0.58), 2882060288 of 4940308480 bytes (0.58)
query1.3,SSD2GPU2CPU,200,1,,8,1,1,268435456,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,17376436448,233387004408,4940308480,16800214942,2882060288,-1,25791,0.154904,117.462,,,,
#[INFO ] chunk_num: 9156, tuples_per_chunk: 131072, Tuples total 1200015353
#[INFO ] The result is: 84148405063199
#[INFO ] Pruned: 7877 of 9156 chunks (0.86), 14453243904 of 16800219136 bytes (0.86)
query1.1,SSD2GPU2CPU,200,1,,8,1,1,1048576,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,184176736,233387113848,16800219136,16800214942,14453243904,-1,2834.99,0.29567,795.864,,,,
#[INFO ] chunk_num: 2289, tuples_per_chunk: 524288, Tuples total 1200015353
#[INFO ] The result is: 84148405063199
#[INFO ] Pruned: 1909 of 2289 chunks (0.83), 14011006976 of 16800219136 bytes (0.83)
query1.1,SSD2GPU2CPU,200,1,,8,1,1,4194304,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,101177428,233387031444,16800219136,16800214942,14011006976,-1,2858.75,0.203726,238.329,,,,
#[INFO ] chunk_num: 573, tuples_per_chunk: 2097152, Tuples total 1200015353
#[INFO ] The result is: 84148405063199
#[INFO ] Pruned: 418 of 573 chunks (0.73), 12249399296 of 16800219136 bytes (0.73)
query1.1,SSD2GPU2CPU,200,1,,8,1,1,16777216,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,245592196,233387010852,16800219136,16800214942,12249399296,-1,2840.1,0.167527,257.54,,,,
#[INFO ] chunk_num: 144, tuples_per_chunk: 8388608, Tuples total 1200015353
#[INFO ] The result is: 84148405063199
#[INFO ] Pruned: 101 of 144 chunks (0.70), 11750277120 of 16800219136 bytes (0.70)
query1.1,SSD2GPU2CPU,200,1,,8,1,1,67108864,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,942298768,233387005704,16800219136,16800214942,11750277120,-1,2839.08,0.136358,272.261,,,,
#[INFO ] chunk_num: 36, tuples_per_chunk: 33554432, Tuples total 1200015353
#[INFO ] The result is: 84148405063199
#[INFO ] Pruned: 21 of 36 chunks (0.58), 9753788416 of 16800219136 bytes (0.58)
query1.1,SSD2GPU2CPU,200,1,,8,1,1,268435456,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,3758873056,233387004408,16800219136,16800214942,9753788416,-1,2821.41,0.138933,382.922,,,,
#[INFO ] chunk_num: 9156, tuples_per_chunk: 131072, Tuples total 1200015353
#[INFO ] The result is: 84148405063199
#[INFO ] Pruned: 7877 of 9156 chunks (0.86), 4311027712 of 4991037440 bytes (0.86)
query1.1,SSD2GPU2CPU,200,1,,8,1,1,1048576,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,9122469728,233387113848,4991037440,16800214942,4311027712,-1,243291,0.297985,778.18,,,,
#[INFO ] chunk_num: 2289, tuples_per_chunk: 524288, Tuples total 1200015353
#[INFO ] The result is: 84148405063199
#[INFO ] Pruned: 1909 of 2289 chunks (0.83), 4124028928 of 4928978944 bytes (0.84)
query1.1,SSD2GPU2CPU,200,1,,8,1,1,4194304,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,9094520660,233387031444,4928978944,16800214942,4124028928,-1,80129.7,0.209988,228.483,,,,
#[INFO ] chunk_num: 573, tuples_per_chunk: 2097152, Tuples total 1200015353
#[INFO ] The result is: 84148405063199
#[INFO ] Pruned: 418 of 573 chunks (0.73), 3590541312 of 4919549952 bytes (0.73)
query1.1,SSD2GPU2CPU,200,1,,8,1,1,16777216,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,9459136388,233387010852,4919549952,16800214942,3590541312,-1,38927.4,0.178388,121.919,,,,
#[INFO ] chunk_num: 144, tuples_per_chunk: 8388608, Tuples total 1200015353
#[INFO ] The result is: 84148405063199
#[INFO ] Pruned: 101 of 144 chunks (0.70), 3465977856 of 4941320192 bytes (0.70)
query1.1,SSD2GPU2CPU,200,1,,8,1,1,67108864,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,11036646800,233387005704,4941320192,16800214942,3465977856,-1,28151.7,0.121179,97.2614,,,,
#[INFO ] chunk_num: 36, tuples_per_chunk: 33554432, Tuples total 1200015353
#[INFO ] The result is: 84148405063199
#[INFO ] Pruned: 21 of 36 chunks (0.58), 2881986560 of 4940308480 bytes (0.58)
query1.1,SSD2GPU2CPU,200,1,,8,1,1,268435456,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,17376436448,233387004408,4940308480,16800214942,2881986560,-1,25797.6,0.153281,122.319,,,,
#[INFO ] chunk_num: 9156, tuples_per_chunk: 131072, Tuples total 1200015353
#[INFO ] The result is: 18167977739771
#[INFO ] Pruned: 8581 of 9156 chunks (0.94), 15745089536 of 16800219136 bytes (0.94)
query1.2,SSD2GPU2CPU,200,1,,8,1,1,1048576,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,184176736,233387113848,16800219136,16800214942,15745089536,-1,2855.98,0.28988,360.359,,,,
#[INFO ] chunk_num: 2289, tuples_per_chunk: 524288, Tuples total 1200015353
#[INFO ] The result is: 18167977739771
#[INFO ] Pruned: 2089 of 2289 chunks (0.91), 15332212736 of 16800219136 bytes (0.91)
query1.2,SSD2GPU2CPU,200,1,,8,1,1,4194304,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,101177428,233387031444,16800219136,16800214942,15332212736,-1,2840.65,0.210429,131.602,,,,
#[INFO ] chunk_num: 573, tuples_per_chunk: 2097152, Tuples total 1200015353
#[INFO ] The result is: 18167977739771
#[INFO ] Pruned: 465 of 573 chunks (0.81), 13629325312 of 16800219136 bytes (0.81)
query1.2,SSD2GPU2CPU,200,1,,8,1,1,16777216,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,245592196,233387010852,16800219136,16800214942,13629325312,-1,2845.15,0.171194,179.689,,,,
#[INFO ] chunk_num: 144, tuples_per_chunk: 8388608, Tuples total 1200015353
#[INFO ] The result is: 18167977739771
#[INFO ] Pruned: 99 of 144 chunks (0.69), 11515396096 of 16800219136 bytes (0.69)
query1.2,SSD2GPU2CPU,200,1,,8,1,1,67108864,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,942298768,233387005704,16800219136,16800214942,11515396096,-1,2805.1,0.130177,294.547,,,,
#[INFO ] chunk_num: 36, tuples_per_chunk: 33554432, Tuples total 1200015353
#[INFO ] The result is: 18167977739771
#[INFO ] Pruned: 21 of 36 chunks (0.58), 9753788416 of 16800219136 bytes (0.58)
