query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,simulate_compute_ms,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:47:00.0
# Slurm Info: 30663 32 1 gres:gpu:gpu_group1:1
# ../../../bin/ssb --dataflow=SSD2GPU --chunk_bytes=65536,262144,1048576,4194304,16777216,67108864,268435456 --comp_algo=UNCOMPRESSED,BEST_BW_COMP --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=select_orderpriority,select_commitdate --repeat=2 --scale_factor=100 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb100.dat --store_offset=0 --workers=1,2,4,8,16 --customer_factor=1 --sim_compute_ms=600
#[INFO ] Loading table data from disk ...
select_orderpriority,SSD2GPU,100,1,,4,1,1,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,268435456,86839070720,9600266240,9600266112,0,-1,1050.74,-1,499.594,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,268435456,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,1073741824,86839070720,9600266240,9600266112,0,-1,998.776,-1,488.434,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,65536,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,3398031360,86775697408,1023455232,9600266112,0,-1,382987,-1,41559.7,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,3399800832,86775894016,727875584,9600266112,0,-1,110991,-1,10663.3,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,1048576,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,3406878720,86776156160,660602880,9600266112,0,-1,31107.8,-1,2813,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,3435190272,86776156160,645906432,9600266112,0,-1,9080.4,-1,726.915,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,3548436480,86788739072,643096576,9600266112,0,-1,2763.27,-1,191.05,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,4001421312,86839070720,645537792,9600266112,0,-1,1260.34,-1,76.7529,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,268435456,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,5813360640,86839070720,645341184,9600266112,0,-1,980.078,-1,60.5424,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,65536,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,524288,86775697408,9600266240,9600266112,0,-1,1038.87,-1,13654,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,262144,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,2097152,86775894016,9600266240,9600266112,0,-1,1014.91,-1,3805.26,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,1048576,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,8388608,86776156160,9600266240,9600266112,0,-1,1036.22,-1,1183.7,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,33554432,86776156160,9600266240,9600266112,0,-1,1043.71,-1,539.713,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,16777216,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,134217728,86788739072,9600266240,9600266112,0,-1,1058.83,-1,477.665,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,536870912,86839070720,9600266240,9600266112,0,-1,1054.63,-1,468.142,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,268435456,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,2147483648,86839070720,9600266240,9600266112,0,-1,1052.71,-1,470.455,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,65536,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,6796062720,86775697408,1023455232,9600266112,0,-1,382618,-1,20768.5,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,6799601664,86775894016,727875584,9600266112,0,-1,111004,-1,5352.14,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,1048576,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,6813757440,86776156160,660602880,9600266112,0,-1,31078.8,-1,1416.52,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,6870380544,86776156160,645906432,9600266112,0,-1,8990.69,-1,363.965,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,7096872960,86788739072,643096576,9600266112,0,-1,2770.31,-1,104.609,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,8002842624,86839070720,645537792,9600266112,0,-1,1262.82,-1,58.0469,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,268435456,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,11626721280,86839070720,645341184,9600266112,0,-1,983.142,-1,60.8127,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,65536,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,1048576,86775697408,9600266240,9600266112,0,-1,1051.37,-1,11399.3,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,262144,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,4194304,86775894016,9600266240,9600266112,0,-1,1050.07,-1,2845.71,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,1048576,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,16777216,86776156160,9600266240,9600266112,0,-1,1051.22,-1,728.736,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,67108864,86776156160,9600266240,9600266112,0,-1,1054.24,-1,489.333,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,16777216,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,268435456,86788739072,9600266240,9600266112,0,-1,1031.79,-1,462.921,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,1073741824,86839070720,9600266240,9600266112,0,-1,1021.93,-1,462.418,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,268435456,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,4294967296,86839070720,9600266240,9600266112,0,-1,1054.94,-1,466.284,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,65536,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,13592125440,86775697408,1023455232,9600266112,0,-1,382543,-1,21078.5,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,13599203328,86775894016,727875584,9600266112,0,-1,110856,-1,5497.11,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,1048576,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,13627514880,86776156160,660602880,9600266112,0,-1,31028.9,-1,1525.18,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,13740761088,86776156160,645906432,9600266112,0,-1,8963.6,-1,371.199,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,14193745920,86788739072,643096576,9600266112,0,-1,2784.77,-1,101.807,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,16005685248,86839070720,645537792,9600266112,0,-1,1269.89,-1,58.0125,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,268435456,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,23253442560,86839070720,645341184,9600266112,0,-1,989.956,-1,70.566,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,65536,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,65536,81975578624,4800135168,4800133056,0,-1,543.549,-1,53124.3,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,262144,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,262144,81975775232,4800135168,4800133056,0,-1,531.434,-1,14740.5,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,1048576,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,1048576,81975775232,4800135168,4800133056,0,-1,565.855,-1,4377.75,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,4194304,81977872384,4800135168,4800133056,0,-1,517.729,-1,1512.58,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,16777216,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,16777216,81990455296,4800135168,4800133056,0,-1,574.855,-1,596.366,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,67108864,82007232512,4800135168,4800133056,0,-1,517.456,-1,460.815,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,268435456,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,268435456,82007232512,4800135168,4800133056,0,-1,579.09,-1,425.598,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,65536,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,147456,81975578624,1500045312,4800133056,0,-1,7809.53,-1,45672.1,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,589824,81975775232,1500037120,4800133056,0,-1,2824.37,-1,11559,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,1048576,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,2359296,81975775232,1451302912,4800133056,0,-1,1113.21,-1,2869.73,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,9437184,81977872384,1444823040,4800133056,0,-1,681.922,-1,746.614,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,37748736,81990455296,1443364864,4800133056,0,-1,547.694,-1,304.482,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,150994944,82007232512,1442922496,4800133056,0,-1,534.905,-1,193.362,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,268435456,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,603979776,82007232512,1442803712,4800133056,0,-1,531.157,-1,167.725,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,65536,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,131072,81975578624,4800135168,4800133056,0,-1,662.227,-1,26840,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,262144,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,524288,81975775232,4800135168,4800133056,0,-1,518.306,-1,7373.59,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,1048576,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,600,42298834944,2097152,81975775232,4800135168,4800133056,0,-1,589.193,-1,2219.8,,,,
