query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,col_filter_lo,col_filter_hi,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
query3.2,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,268435456,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,2020.61,,,,
#Hashtable Builds took 116.312 ms
#[INFO ] Sum of results            =236633849110
#[INFO ] Number of results (groups)=24
query3.3,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,1488.02,,,,
#Hashtable Builds took 101.01 ms
#[INFO ] Sum of results            =236633849110
#[INFO ] Number of results (groups)=24
query3.3,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,1482.39,,,,
#Hashtable Builds took 101.046 ms
#[INFO ] Sum of results            =236633849110
#[INFO ] Number of results (groups)=24
query3.3,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,67108864,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,1473.83,,,,
#Hashtable Builds took 103.295 ms
#[INFO ] Sum of results            =236633849110
#[INFO ] Number of results (groups)=24
query3.3,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,268435456,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,1473.43,,,,
#Hashtable Builds took 102.333 ms
#[INFO ] Sum of results            =3381783128
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,1475.43,,,,
#Hashtable Builds took 108.602 ms
#[INFO ] Sum of results            =3381783128
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,1480.47,,,,
#Hashtable Builds took 101.79 ms
#[INFO ] Sum of results            =3381783128
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,67108864,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,1477.75,,,,
#Hashtable Builds took 100.28 ms
#[INFO ] Sum of results            =3381783128
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,268435456,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,1462.17,,,,
#Hashtable Builds took 2174.17 ms
#[INFO ] Sum of results            =149374184073883
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,5492.25,,,,
#Hashtable Builds took 2146.55 ms
#[INFO ] Sum of results            =149374184073883
#[INFO ] Number of results (groups)=150
