# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:B7:00.0
# Slurm Info: 24264 32 1 gres:gpu:gpu_group3:1
# ../bin/sample_ssb --chunk_bytes=8388608,16777216,33554432,67108864,134217728,268435456 --comp_algo=LZ4,Cascaded,Snappy,Gdeflate,Bitcomp,ANS --cuda_device=0 --init_variant=init_only --nvchunk=65536 --repeat=2 --scale_factor=200 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb200.dat --store_offset=0 --workers=8 --customer_factor=1 --columns=lo_key,lo_linenum,lo_custkey,lo_partkey,lo_suppkey,lo_orderdate,lo_linenumber,lo_orderpriority,lo_quantity,lo_extendedprice,lo_ordtotalprice,lo_discount,lo_revenue,lo_supplycost,lo_tax,lo_commitdate,lo_shipmode --sample_ratio=0.01,0.05,0.1,0.2
col_name,comp_algo,uncomp_bytes,chunk_bytes,sample_ratio,workers,comp_bytes,comp_time,decomp_time
lo_ordtotalprice_sample_BW,Cascaded,960012280,16777216,0.2,8,242135040,105.428,14.5562
lo_ordtotalprice_sample_RATIO,Cascaded,960012280,8388608,0.2,8,240189440,107.32,15.3497
lo_discount_sample_BW,Bitcomp,240003070,33554432,0.2,8,134746112,40.7832,8.40271
lo_discount_sample_RATIO,ANS,240003070,268435456,0.2,8,104308736,49.0789,12.5873
lo_revenue_sample_BW,Bitcomp,960012280,16777216,0.2,8,712187904,266.388,38.3602
lo_revenue_sample_RATIO,Bitcomp,960012280,8388608,0.2,8,706088960,269.503,39.1433
lo_supplycost_sample_BW,Bitcomp,960012280,8388608,0.2,8,512020480,161.905,27.8619
lo_supplycost_sample_RATIO,Bitcomp,960012280,8388608,0.2,8,512020480,161.905,27.8619
lo_tax_sample_BW,Bitcomp,240003070,8388608,0.2,8,120582144,38.3613,7.36643
lo_tax_sample_RATIO,ANS,240003070,268435456,0.2,8,95629312,44.7175,12.4251
lo_commitdate_sample_BW,Bitcomp,1920024560,16777216,0.2,8,480854016,190.214,27.1545
lo_commitdate_sample_RATIO,Bitcomp,1920024560,8388608,0.2,8,478617600,205.996,30.8452
lo_shipmode_sample_BW,Gdeflate,3840049120,134217728,0.2,8,419557376,570.425,29.0586
lo_shipmode_sample_RATIO,Gdeflate,3840049120,16777216,0.2,8,413327360,1355.08,43.6173
lo_key_sample_BW,Bitcomp,96001224,33554432,0.01,8,7430144,10.9866,1.73827
lo_key_sample_RATIO,Cascaded,96001224,8388608,0.01,8,4423680,7.41319,1.76499
lo_linenum_sample_BW,Bitcomp,12000153,134217728,0.01,8,4501504,3.25961,1.58596
lo_linenum_sample_RATIO,Cascaded,12000153,16777216,0.01,8,3760128,3.03013,1.99651
lo_custkey_sample_BW,Cascaded,96001224,16777216,0.01,8,12955648,10.7284,2.07518
lo_custkey_sample_RATIO,Cascaded,96001224,33554432,0.01,8,12947456,13.5544,2.27567
lo_partkey_sample_BW,Cascaded,96001224,16777216,0.01,8,36790272,17.4428,3.23448
lo_partkey_sample_RATIO,Bitcomp,96001224,134217728,0.01,8,31748096,16.2114,4.5686
lo_suppkey_sample_BW,Bitcomp,96001224,16777216,0.01,8,30105600,16.714,3.04608
lo_suppkey_sample_RATIO,Bitcomp,96001224,134217728,0.01,8,28745728,15.2045,5.48935
lo_orderdate_sample_BW,Cascaded,96001224,16777216,0.01,8,10219520,8.42905,1.93929
lo_orderdate_sample_RATIO,Cascaded,96001224,33554432,0.01,8,10215424,13.7022,1.98666
lo_linenumber_sample_BW,Bitcomp,12000153,16777216,0.01,8,4538368,2.91064,1.61718
lo_linenumber_sample_RATIO,ANS,12000153,16777216,0.01,8,3956736,4.38959,2.10453
lo_orderpriority_sample_BW,Gdeflate,192002448,33554432,0.01,8,13479936,37.3016,2.94538
lo_orderpriority_sample_RATIO,Gdeflate,192002448,8388608,0.01,8,12967936,93.8281,4.12488
lo_quantity_sample_BW,Bitcomp,12000153,134217728,0.01,8,9203712,4.43662,2.185
lo_quantity_sample_RATIO,ANS,12000153,16777216,0.01,8,8511488,5.64933,2.74104
lo_extendedprice_sample_BW,Bitcomp,48000612,8388608,0.01,8,37126144,14.9797,3.29324
lo_extendedprice_sample_RATIO,Bitcomp,48000612,67108864,0.01,8,35422208,15.0229,4.94845
lo_ordtotalprice_sample_BW,Cascaded,48000612,8388608,0.01,8,12533760,8.97689,2.21602
lo_ordtotalprice_sample_RATIO,Cascaded,48000612,67108864,0.01,8,12300288,9.33002,2.93785
lo_discount_sample_BW,Bitcomp,12000153,33554432,0.01,8,6057984,3.22594,1.49442
lo_discount_sample_RATIO,ANS,12000153,16777216,0.01,8,5230592,4.60988,2.41941
lo_revenue_sample_BW,Cascaded,48000612,8388608,0.01,8,39858176,15.2233,3.18544
lo_revenue_sample_RATIO,Bitcomp,48000612,67108864,0.01,8,35151872,13.9421,5.93669
lo_supplycost_sample_BW,Cascaded,48000612,8388608,0.01,8,27926528,15.0249,2.68639
lo_supplycost_sample_RATIO,Bitcomp,48000612,67108864,0.01,8,25489408,11.6572,3.89875
lo_tax_sample_BW,Bitcomp,12000153,8388608,0.01,8,8314880,4.68172,1.85185
lo_tax_sample_RATIO,ANS,12000153,16777216,0.01,8,4796416,4.5683,2.53147
lo_commitdate_sample_BW,Bitcomp,96001224,16777216,0.01,8,30244864,16.7508,2.9188
lo_commitdate_sample_RATIO,Bitcomp,96001224,134217728,0.01,8,28893184,15.5144,4.25184
lo_shipmode_sample_BW,Gdeflate,192002448,67108864,0.01,8,26742784,39.232,3.71819
lo_shipmode_sample_RATIO,Gdeflate,192002448,8388608,0.01,8,25673728,142.529,4.54912
lo_key_sample_BW,Cascaded,480006136,33554432,0.05,8,22118400,29.9626,2.50226
lo_key_sample_RATIO,Cascaded,480006136,8388608,0.05,8,21381120,35.2655,3.64001
lo_linenum_sample_BW,Bitcomp,60000767,8388608,0.05,8,24186880,8.57662,2.47495
lo_linenum_sample_RATIO,Cascaded,60000767,67108864,0.05,8,18497536,11.7126,3.64725
lo_custkey_sample_BW,Cascaded,480006136,33554432,0.05,8,36020224,32.2029,3.92745
lo_custkey_sample_RATIO,Cascaded,480006136,16777216,0.05,8,33902592,32.9268,4.07457
lo_partkey_sample_BW,Bitcomp,480006136,16777216,0.05,8,160714752,58.1724,9.87416
lo_partkey_sample_RATIO,Bitcomp,480006136,16777216,0.05,8,160714752,58.1724,9.87416
lo_suppkey_sample_BW,Bitcomp,480006136,16777216,0.05,8,145510400,53.3336,9.1867
lo_suppkey_sample_RATIO,Bitcomp,480006136,16777216,0.05,8,145510400,53.3336,9.1867
lo_orderdate_sample_BW,Cascaded,480006136,16777216,0.05,8,49410048,37.7307,3.62915
lo_orderdate_sample_RATIO,Cascaded,480006136,16777216,0.05,8,49410048,37.7307,3.62915
lo_linenumber_sample_BW,Bitcomp,60000767,8388608,0.05,8,25362432,9.14441,2.42348
lo_linenumber_sample_RATIO,ANS,60000767,67108864,0.05,8,19718144,12.7107,4.32434
lo_orderpriority_sample_BW,Gdeflate,960012272,134217728,0.05,8,57180160,103.393,8.27771
lo_orderpriority_sample_RATIO,Gdeflate,960012272,8388608,0.05,8,50057216,382.532,16.1385
lo_quantity_sample_BW,Bitcomp,60000767,8388608,0.05,8,50495488,14.2548,3.93789
lo_quantity_sample_RATIO,ANS,60000767,67108864,0.05,8,42504192,18.4679,6.68504
lo_extendedprice_sample_BW,Cascaded,240003068,8388608,0.05,8,194351104,58.2866,11.8238
lo_extendedprice_sample_RATIO,Bitcomp,240003068,268435456,0.05,8,177004544,63.0433,18.453
lo_ordtotalprice_sample_BW,Cascaded,240003068,8388608,0.05,8,60559360,27.4201,4.64215
lo_ordtotalprice_sample_RATIO,Cascaded,240003068,268435456,0.05,8,60215296,36.6109,7.94971
lo_discount_sample_BW,Bitcomp,60000767,16777216,0.05,8,33701888,12.8465,3.21339
lo_discount_sample_RATIO,ANS,60000767,67108864,0.05,8,26083328,13.9664,4.93815
lo_revenue_sample_BW,Bitcomp,240003068,33554432,0.05,8,196435968,55.1295,11.619
