# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:07:00.0
# Slurm Info: 32541 32 1 gres:gpu:1
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33460992/33554432(KiB) IOSize: 256(KiB) Throughput: 0.803975 GiB/sec, Avg_Latency: 607.103101 usecs ops: 130707 total_time 39.691376 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33494528/33554432(KiB) IOSize: 512(KiB) Throughput: 1.397018 GiB/sec, Avg_Latency: 698.657152 usecs ops: 65419 total_time 22.865037 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33474560/33554432(KiB) IOSize: 1024(KiB) Throughput: 2.547727 GiB/sec, Avg_Latency: 760.638249 usecs ops: 32690 total_time 12.530317 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33382400/33554432(KiB) IOSize: 2048(KiB) Throughput: 3.160265 GiB/sec, Avg_Latency: 1228.937607 usecs ops: 16300 total_time 10.073820 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33316864/33554432(KiB) IOSize: 4096(KiB) Throughput: 3.548916 GiB/sec, Avg_Latency: 2167.647290 usecs ops: 8134 total_time 8.952997 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33333248/33554432(KiB) IOSize: 8192(KiB) Throughput: 3.837277 GiB/sec, Avg_Latency: 4053.359321 usecs ops: 4069 total_time 8.284277 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33341440/33554432(KiB) IOSize: 16384(KiB) Throughput: 4.015820 GiB/sec, Avg_Latency: 7760.813458 usecs ops: 2035 total_time 7.917904 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33091328/33554432(KiB) IOSize: 256(KiB) Throughput: 1.735446 GiB/sec, Avg_Latency: 562.382907 usecs ops: 129263 total_time 18.184573 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33179648/33554432(KiB) IOSize: 512(KiB) Throughput: 2.771075 GiB/sec, Avg_Latency: 704.183027 usecs ops: 64804 total_time 11.418883 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33256448/33554432(KiB) IOSize: 1024(KiB) Throughput: 5.066074 GiB/sec, Avg_Latency: 769.673500 usecs ops: 32477 total_time 6.260434 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33105920/33554432(KiB) IOSize: 2048(KiB) Throughput: 5.865901 GiB/sec, Avg_Latency: 1294.507288 usecs ops: 16165 total_time 5.382339 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33009664/33554432(KiB) IOSize: 4096(KiB) Throughput: 6.435175 GiB/sec, Avg_Latency: 2356.678594 usecs ops: 8059 total_time 4.891937 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33054720/33554432(KiB) IOSize: 8192(KiB) Throughput: 7.010006 GiB/sec, Avg_Latency: 4437.002753 usecs ops: 4035 total_time 4.496920 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33062912/33554432(KiB) IOSize: 16384(KiB) Throughput: 7.204032 GiB/sec, Avg_Latency: 8583.435218 usecs ops: 2018 total_time 4.376889 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 32800256/33554432(KiB) IOSize: 256(KiB) Throughput: 2.131862 GiB/sec, Avg_Latency: 914.450853 usecs ops: 128126 total_time 14.672977 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 32759808/33554432(KiB) IOSize: 512(KiB) Throughput: 3.969905 GiB/sec, Avg_Latency: 976.039364 usecs ops: 63984 total_time 7.869756 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 32943104/33554432(KiB) IOSize: 1024(KiB) Throughput: 7.982061 GiB/sec, Avg_Latency: 973.883295 usecs ops: 32171 total_time 3.935950 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 33052672/33554432(KiB) IOSize: 2048(KiB) Throughput: 9.610549 GiB/sec, Avg_Latency: 1527.798022 usecs ops: 16139 total_time 3.279884 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 32894976/33554432(KiB) IOSize: 4096(KiB) Throughput: 10.226319 GiB/sec, Avg_Latency: 2789.016501 usecs ops: 8031 total_time 3.067682 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 33046528/33554432(KiB) IOSize: 8192(KiB) Throughput: 11.726543 GiB/sec, Avg_Latency: 5278.912348 usecs ops: 4034 total_time 2.687546 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 33079296/33554432(KiB) IOSize: 16384(KiB) Throughput: 11.901028 GiB/sec, Avg_Latency: 10266.441993 usecs ops: 2019 total_time 2.650769 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 31269120/33554432(KiB) IOSize: 256(KiB) Throughput: 1.886414 GiB/sec, Avg_Latency: 2046.612531 usecs ops: 122145 total_time 15.808068 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 32814080/33554432(KiB) IOSize: 512(KiB) Throughput: 3.796184 GiB/sec, Avg_Latency: 2050.330378 usecs ops: 64090 total_time 8.243526 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 31677440/33554432(KiB) IOSize: 1024(KiB) Throughput: 7.000882 GiB/sec, Avg_Latency: 2084.318277 usecs ops: 30935 total_time 4.315165 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 31528960/33554432(KiB) IOSize: 2048(KiB) Throughput: 10.618555 GiB/sec, Avg_Latency: 2652.074728 usecs ops: 15395 total_time 2.831681 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 32686080/33554432(KiB) IOSize: 4096(KiB) Throughput: 11.939075 GiB/sec, Avg_Latency: 5159.163715 usecs ops: 7980 total_time 2.610912 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 33112064/33554432(KiB) IOSize: 8192(KiB) Throughput: 11.232235 GiB/sec, Avg_Latency: 10298.834088 usecs ops: 4042 total_time 2.811384 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 33112064/33554432(KiB) IOSize: 16384(KiB) Throughput: 11.103302 GiB/sec, Avg_Latency: 20271.784955 usecs ops: 2021 total_time 2.844030 secs
IoType: READ XferType: ASYNC Threads: 32 DataSetSize: 32543488/33554432(KiB) IOSize: 256(KiB) Throughput: 1.875385 GiB/sec, Avg_Latency: 4088.602950 usecs ops: 127123 total_time 16.549075 secs
IoType: READ XferType: ASYNC Threads: 32 DataSetSize: 32875008/33554432(KiB) IOSize: 512(KiB) Throughput: 3.752132 GiB/sec, Avg_Latency: 4112.384970 usecs ops: 64209 total_time 8.355797 secs
IoType: READ XferType: ASYNC Threads: 32 DataSetSize: 32513024/33554432(KiB) IOSize: 1024(KiB) Throughput: 7.299819 GiB/sec, Avg_Latency: 4232.349344 usecs ops: 31751 total_time 4.247617 secs
IoType: READ XferType: ASYNC Threads: 32 DataSetSize: 32278528/33554432(KiB) IOSize: 2048(KiB) Throughput: 10.535424 GiB/sec, Avg_Latency: 5206.845352 usecs ops: 15761 total_time 2.921876 secs
IoType: READ XferType: ASYNC Threads: 32 DataSetSize: 32649216/33554432(KiB) IOSize: 4096(KiB) Throughput: 8.531328 GiB/sec, Avg_Latency: 13597.807251 usecs ops: 7971 total_time 3.649692 secs
IoType: READ XferType: ASYNC Threads: 32 DataSetSize: 32374784/33554432(KiB) IOSize: 8192(KiB) Throughput: 11.146415 GiB/sec, Avg_Latency: 22036.494018 usecs ops: 3952 total_time 2.769949 secs
IoType: READ XferType: ASYNC Threads: 32 DataSetSize: 31997952/33554432(KiB) IOSize: 16384(KiB) Throughput: 12.157954 GiB/sec, Avg_Latency: 35845.121792 usecs ops: 1953 total_time 2.509931 secs
#DONE
