# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:07:00.0
# Slurm Info: 32541 32 1 gres:gpu:1
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 256(KiB) Throughput: 0.386219 GiB/sec, Avg_Latency: 632.056694 usecs ops: 131072 total_time 82.854601 secs
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 512(KiB) Throughput: 0.636320 GiB/sec, Avg_Latency: 765.621552 usecs ops: 65536 total_time 50.289184 secs
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 1024(KiB) Throughput: 1.278787 GiB/sec, Avg_Latency: 762.705719 usecs ops: 32768 total_time 25.023714 secs
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 2048(KiB) Throughput: 1.611432 GiB/sec, Avg_Latency: 1211.409119 usecs ops: 16384 total_time 19.858119 secs
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 4096(KiB) Throughput: 1.900051 GiB/sec, Avg_Latency: 2053.679688 usecs ops: 8192 total_time 16.841649 secs
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 8192(KiB) Throughput: 2.016941 GiB/sec, Avg_Latency: 3864.277832 usecs ops: 4096 total_time 15.865610 secs
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 16384(KiB) Throughput: 2.111846 GiB/sec, Avg_Latency: 7390.621582 usecs ops: 2048 total_time 15.152619 secs
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 32768(KiB) Throughput: 2.145322 GiB/sec, Avg_Latency: 14543.399414 usecs ops: 1024 total_time 14.916176 secs
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 65536(KiB) Throughput: 2.141584 GiB/sec, Avg_Latency: 28914.544922 usecs ops: 512 total_time 14.942210 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33517312/33554432(KiB) IOSize: 64(KiB) Throughput: 0.219128 GiB/sec, Avg_Latency: 556.815992 usecs ops: 523708 total_time 145.872046 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33506176/33554432(KiB) IOSize: 128(KiB) Throughput: 0.435331 GiB/sec, Avg_Latency: 560.741764 usecs ops: 261767 total_time 73.401575 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33446912/33554432(KiB) IOSize: 256(KiB) Throughput: 0.810712 GiB/sec, Avg_Latency: 601.981141 usecs ops: 130652 total_time 39.344979 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33518592/33554432(KiB) IOSize: 512(KiB) Throughput: 1.376525 GiB/sec, Avg_Latency: 708.148630 usecs ops: 65466 total_time 23.222111 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33444864/33554432(KiB) IOSize: 1024(KiB) Throughput: 2.563280 GiB/sec, Avg_Latency: 759.703594 usecs ops: 32661 total_time 12.443238 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33376256/33554432(KiB) IOSize: 2048(KiB) Throughput: 3.158302 GiB/sec, Avg_Latency: 1220.976280 usecs ops: 16297 total_time 10.078225 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33349632/33554432(KiB) IOSize: 4096(KiB) Throughput: 3.571374 GiB/sec, Avg_Latency: 2169.932261 usecs ops: 8142 total_time 8.905448 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33333248/33554432(KiB) IOSize: 8192(KiB) Throughput: 3.869325 GiB/sec, Avg_Latency: 4030.412984 usecs ops: 4069 total_time 8.215660 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33308672/33554432(KiB) IOSize: 16384(KiB) Throughput: 4.006712 GiB/sec, Avg_Latency: 7779.597497 usecs ops: 2033 total_time 7.928102 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33292288/33554432(KiB) IOSize: 32768(KiB) Throughput: 4.097177 GiB/sec, Avg_Latency: 15126.916465 usecs ops: 1016 total_time 7.749238 secs
IoType: READ XferType: ASYNC Threads: 2 DataSetSize: 33357824/33554432(KiB) IOSize: 65536(KiB) Throughput: 4.062950 GiB/sec, Avg_Latency: 30249.182745 usecs ops: 509 total_time 7.829902 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33375744/33554432(KiB) IOSize: 64(KiB) Throughput: 0.511224 GiB/sec, Avg_Latency: 476.330900 usecs ops: 521496 total_time 62.261485 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33015552/33554432(KiB) IOSize: 128(KiB) Throughput: 0.985206 GiB/sec, Avg_Latency: 495.368625 usecs ops: 257934 total_time 31.958897 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33027840/33554432(KiB) IOSize: 256(KiB) Throughput: 1.743355 GiB/sec, Avg_Latency: 558.217803 usecs ops: 129015 total_time 18.067346 secs
